sample,mean_class0,mean_class1
31253,-1857.77,-2015.44
31254,-232.559,23.3198
31255,-73.0224,-37.9163
31256,833.265,913.706
31257,69.1436,156.157
31258,448.928,499.476
31259,-8.85375,66.5911
31260,185.845,227.325
31261,357.86,433.058
31262,422.704,417.943
31263,189.049,201.846
31264,295.631,426.667
31265,98.4875,-8.72335
31266,33.9816,123.941
31267,70.3241,176.022
31268,133.228,148.124
31269,-241.328,-127.309
31270,27.7418,171.703
31271,-163.921,-83.3468
31272,-347.573,-301.431
31273,-348.416,-198.478
31274,-125.892,-134.823
31275,18.3821,64.0864
31276,-66.9512,-51.9082
31277,-233.402,-160.13
31278,-123.362,-203.66
31279,-361.57,-228.103
31280,-99.7523,-119.709
31281,-229.776,-187.422
31282,-155.826,-37.5709
31283,-319.747,-353.511
31284,-317.892,-126.1
31285,-243.773,-168.767
31286,-237.702,-204.005
31287,-210.972,-56.9177
31288,-279.694,-208.151
31289,-61.4704,16.6694
31290,-36.7642,-56.4858
31291,-111.22,-33.9433
31292,54.303,43.6167
31293,2.95125,29.4521
31294,93.2596,159.87
31295,15.0935,45.776
31296,46.7141,122.127
31297,86.4295,133.96
31298,-38.8722,-24.0972
31299,-34.4032,115.39
31300,60.0369,93.0202
31301,-49.9183,-29.193
31302,1.26482,177.922
31303,-14.419,-37.9163
31304,4.722,110.985
31305,32.7167,58.2996
31306,30.2714,55.7085
31307,11.4677,-2.76383
31308,-163.499,-115.995
31309,-24.1159,30.9204
31310,383.41,408.097
31311,-328.348,-269.733
31312,980.659,1100.78
31313,99.3307,116.686
31314,-199.842,-26.2564
31315,-672.97,-709.96
31316,1338.35,1477.01
31317,2237.89,2330.86
31318,613.017,700.286
31319,-324.553,-360.076
31320,181.123,294.262
31321,531.057,578.159
31322,1107.56,1017.18
31323,743.884,885.031
31324,791.863,755.217
31325,235.341,217.652
31326,38.5349,97.8569
31327,464.274,583.601
31328,435.183,415.352
31329,277.502,459.487
31330,219.91,263.601
31331,-212.321,-144.669
31332,217.381,314.904
31333,36.6798,82.915
31334,-24.6219,15.3738
31335,139.889,197.614
31336,251.362,264.205
31337,54.809,69.8731
31338,-197.902,-144.151
31339,-195.289,-122.386
31340,65.0962,-11.4008
31341,-64.253,90.7746
31342,139.046,145.792
31343,-141.07,-65.3819
31344,-95.7049,39.7301
31345,-203.046,-130.073
31346,-67.5415,53.2901
31347,149.165,159.266
31348,29.1752,155.638
31349,38.8722,1.90013
31350,65.6864,105.976
31351,121.17,86.9744
31352,169.233,231.557
31353,202.793,199.428
31354,180.701,262.737
31355,224.632,177.835
31356,104.39,267.401
31357,226.235,207.201
31358,170.498,251.682
31359,243.099,399.806
31360,195.204,247.19
31361,290.066,382.359
31362,283.573,316.372
31363,200.095,304.885
31364,385.855,439.19
31365,298.751,231.73
31366,266.793,359.298
31367,350.693,307.822
31368,308.279,451.714
