sample,mean_m0,mean_m1,diff,welch_t
3.498000000000000000e+03,-9.637041800643087299e+02,-8.534012738853502924e+02,-1.103029061789584375e+02,-1.420130975352221547e+00
3.499000000000000000e+03,-7.369260450160771825e+02,-8.324076433121018681e+02,9.548159829602468562e+01,1.235175387845698358e+00
3.500000000000000000e+03,-3.282315112540192672e+02,-2.731210191082802794e+02,-5.511049214573898780e+01,-6.844554374450739775e-01
3.501000000000000000e+03,7.498906752411575098e+02,6.724076433121018681e+02,7.748303192905564174e+01,1.067062048399668672e+00
3.502000000000000000e+03,2.003138263665594877e+03,2.200662420382165692e+03,-1.975241567165708148e+02,-2.549991086160836584e+00
3.503000000000000000e+03,-3.920257234726688012e+02,-5.217834394904458577e+02,1.297577160177770565e+02,1.548086219547258668e+00
3.504000000000000000e+03,5.000643086816720029e+02,5.093503184713375731e+02,-9.286009789665570224e+00,-1.128000082600393028e-01
3.505000000000000000e+03,6.698392282958199075e+02,7.757452229299362898e+02,-1.059059946341163823e+02,-1.398130613777113673e+00
3.506000000000000000e+03,2.018160771704179979e+03,1.977273885350318551e+03,4.088688635386142778e+01,5.408483060257905928e-01
3.507000000000000000e+03,1.072977491961414898e+03,1.085961783439490546e+03,-1.298429147807564732e+01,-1.728863799012465008e-01
3.508000000000000000e+03,1.327125401929260534e+03,1.469961783439490546e+03,-1.428363815102300123e+02,-1.935652204369336937e+00
3.509000000000000000e+03,1.196450160771704077e+03,1.031949044585987167e+03,1.645011161857169100e+02,2.207786964043331412e+00
3.510000000000000000e+03,1.192540192926044938e+03,1.320764331210191131e+03,-1.282241382841461927e+02,-1.711647267228533220e+00
3.511000000000000000e+03,1.619549839228295923e+03,1.597554140127388564e+03,2.199569910090735902e+01,2.932456322378840241e-01
3.512000000000000000e+03,1.750225080385852152e+03,1.708433121019108285e+03,4.179195936674386758e+01,5.588401917013514630e-01
3.513000000000000000e+03,1.485170418006430964e+03,1.654624203821656010e+03,-1.694537858152250465e+02,-2.326894042836189502e+00
3.514000000000000000e+03,1.580038585209003259e+03,1.443872611464968259e+03,1.361659737440350000e+02,1.861149526021919742e+00
3.515000000000000000e+03,1.024823151125401864e+03,1.095745222929936290e+03,-7.092207180453442561e+01,-9.653319448415508264e-01
3.516000000000000000e+03,9.350996784565916187e+02,9.449171974522292885e+02,-9.817518995637669832e+00,-1.362945105132544188e-01
3.517000000000000000e+03,6.319742765273311988e+02,6.742420382165605588e+02,-4.226776168922935994e+01,-5.852110552955498424e-01
3.518000000000000000e+03,5.751768488745980221e+02,5.262675159235668616e+02,4.890933295103116052e+01,6.745155929815547236e-01
3.519000000000000000e+03,2.490032154340836001e+01,-1.426751592356687803e+00,2.632707313576504760e+01,3.594418701195810084e-01
3.520000000000000000e+03,-9.918971061093247954e+01,-7.867515923566878655e+01,-2.051455137526369299e+01,-2.754111020235336937e-01
3.521000000000000000e+03,-1.825337620578778228e+02,-2.405095541401273920e+02,5.797579208224956915e+01,7.702848562523428866e-01
3.522000000000000000e+03,-8.499035369774919673e+02,-8.413757961783439896e+02,-8.527740799147977668e+00,-1.153717222308809076e-01
3.523000000000000000e+03,-1.065980707395498484e+03,-9.946496815286624269e+02,-7.133102586683605750e+01,-9.887442689651413374e-01
3.524000000000000000e+03,-1.132038585209003259e+03,-1.244331210191082846e+03,1.122926249820795874e+02,1.525098103499981095e+00
3.525000000000000000e+03,-1.246045016077170430e+03,-1.152407643312101982e+03,-9.363737276506844864e+01,-1.256770700858252265e+00
3.526000000000000000e+03,-1.104463022508038648e+03,-1.202751592356687979e+03,9.828856984864933111e+01,1.317568300377695456e+00
3.527000000000000000e+03,-1.634160771704179979e+03,-1.480560509554140026e+03,-1.536002621500399528e+02,-2.081033331482211590e+00
3.528000000000000000e+03,-1.523446945337620491e+03,-1.620993630573248311e+03,9.754668523562781957e+01,1.313444814384662873e+00
3.529000000000000000e+03,-1.778623794212218627e+03,-1.811159235668789734e+03,3.253544145657110676e+01,4.330921664269071214e-01
3.530000000000000000e+03,-1.731704180064308730e+03,-1.672152866242038272e+03,-5.955131382227045833e+01,-7.926644271129801300e-01
3.531000000000000000e+03,-1.722237942122186496e+03,-1.792203821656050877e+03,6.996587953386438130e+01,9.523896466390116000e-01
3.532000000000000000e+03,-1.809286173633440512e+03,-1.740636942675159162e+03,-6.864923095828135047e+01,-9.358037055824692807e-01
3.533000000000000000e+03,-1.889749196141479160e+03,-1.892076433121019136e+03,2.327236979539975437e+00,3.149225908980490818e-02
3.534000000000000000e+03,-1.882135048231511291e+03,-2.010089171974522287e+03,1.279541237430109959e+02,1.734705205034095643e+00
3.535000000000000000e+03,-2.010752411575562746e+03,-1.880866242038216569e+03,-1.298861695373461771e+02,-1.757922884999266744e+00
3.536000000000000000e+03,-1.665440514469453319e+03,-1.795464968152866277e+03,1.300244536834129576e+02,1.763503187844198461e+00
3.537000000000000000e+03,-1.776154340836012807e+03,-1.758980891719745159e+03,-1.717344911626764770e+01,-2.339257777105424041e-01
3.538000000000000000e+03,-1.725942122186495226e+03,-1.599388535031847141e+03,-1.265535871546480848e+02,-1.750788696583022164e+00
3.539000000000000000e+03,-1.455742765273311988e+03,-1.628942675159235705e+03,1.731999098859237165e+02,2.384746746537117712e+00
3.540000000000000000e+03,-1.526739549839228403e+03,-1.447745222929936290e+03,-7.899432690929211276e+01,-1.074089748971625680e+00
3.541000000000000000e+03,-1.287202572347266823e+03,-1.237197452229299415e+03,-5.000512011796740808e+01,-6.831284508471830996e-01
3.542000000000000000e+03,-1.230199356913183237e+03,-1.239439490445859974e+03,9.240133532676736650e+00,1.283596911037988286e-01
3.543000000000000000e+03,-9.684372990353697332e+02,-9.824203821656051332e+02,1.398308313023539995e+01,1.961076193258937672e-01
3.544000000000000000e+03,-8.929131832797427251e+02,-8.880509554140127193e+02,-4.862227865730005760e+00,-6.768903533909075010e-02
