sample,mean_class0,mean_class1
47172,1013.15,1146.5
47173,1010.1,1004.24
47174,1081.9,1075.8
47175,1006.45,1099.51
47176,1046.12,980.102
47177,1035.36,1163.34
47178,1106.99,958.711
47179,1051.46,1101.49
47180,957.033,931.651
47181,1134.28,1071.76
47182,844.885,959.914
47183,922.193,844.199
47184,963.815,982.765
47185,1210.83,1331.72
47186,910.241,757.949
47187,1735.37,1985.46
47188,1387.74,1229.66
47189,625.505,733.38
47190,417.229,382.54
47191,2415.22,2349.1
47192,3248.91,3291.06
47193,1592.03,1624.4
47194,573.203,654.003
47195,1280.76,1141.43
47196,1505.14,1557.3
47197,1969.08,1968.54
47198,1792.93,1749.39
47199,1668.92,1739.68
47200,1135.39,1126.66
47201,956.948,1006.05
47202,1420.97,1531.19
47203,1419.19,1373.12
47204,1283.73,1360.75
47205,1129.96,1102.52
47206,883.454,863.356
47207,1125.81,1151.14
47208,1117.08,1054.41
47209,847.513,869.283
47210,1120.72,1045.91
47211,1165.65,1196.07
47212,896.932,979.157
47213,820.048,777.106
47214,698.151,708.725
47215,929.907,960.601
47216,877.351,913.009
47217,1098.26,1118.84
47218,814.283,835.436
47219,804.62,868.081
47220,785.547,773.326
47221,911.852,988.263
47222,1071.13,1049.26
47223,1064.52,1036.54
47224,921.854,918.679
47225,1006.2,920.226
47226,951.523,1000.2
47227,1106.65,1092.9
47228,1056.55,1074.6
47229,1037.65,1066.95
47230,1051.04,1090.23
47231,1023.24,1108.88
47232,1081.47,1115.06
47233,1131.83,1142.81
47234,1196.33,1096.85
47235,1123.86,1204.75
47236,1231.77,1122.53
47237,1170.23,1251.91
47238,1164.55,1165.74
47239,1221.85,1188.85
47240,1130.64,1189.11
47241,1103.26,1130.7
47242,1279.24,1237.99
47243,1129.62,1205
47244,1052.57,1038.43
47245,1307.46,1323.73
47246,1248.64,1355.51
47247,746.723,755.458
47248,1632.89,1705.15
47249,1135.89,1106.47
47250,2278.74,2279.52
47251,2437.26,2324.62
47252,2175.66,2314.57
47253,-634.575,-715.168
47254,1124.03,1096.93
47255,1213.29,1145.21
47256,2027.99,2148.17
47257,1377.23,1414.27
47258,1651.62,1689.6
47259,1321.54,1272.1
47260,1339.76,1432.14
47261,1655.44,1599.91
47262,1589.57,1675.34
47263,1395.45,1400.96
47264,1595.68,1540.64
47265,1137.93,1232.15
47266,1306.36,1294.78
47267,1376.55,1351.13
47268,1346.54,1381.63
47269,1048.24,987.919
47270,1257.62,1213.25
47271,1102.83,1193.92
47272,858.702,813.616
47273,891.931,955.361
47274,1141.4,1119.44
47275,1132.42,1187.57
47276,1150.39,1186.96
47277,968.562,1008.54
47278,1014.42,1000.38
47279,912.106,876.671
47280,956.185,992.387
47281,1055.7,983.452
47282,979.666,1047.62
47283,926.601,894.368
47284,934.4,896.43
47285,910.58,967.044
47286,1078.08,1030.01
47287,947.793,1003.04
47288,1010.95,970.738
47289,1131.91,1120.04
47290,1007.64,1037.49
47291,1123.6,1146.24
47292,1192.77,1214.28
47293,1112.75,1158.01
47294,1272.54,1267.29
47295,1135.64,1132.33
47296,1244.91,1270.64
47297,1201.25,1167.21
47298,1113.68,1105.27
47299,1223.54,1213.08
47300,1134.28,1102.69
47301,1194.64,1215.06
47302,1138.1,1234.64
47303,1162.09,1134.13
47304,1184.81,1234.38
47305,1003.49,1032.08
47306,1299.24,1315.05
47307,965.256,1030.44
47308,1009.76,958.797
47309,1157.43,1125.2
47310,1299.58,1401.39
47311,1101.65,957.251
47312,1880.33,2006.94
47313,1473.02,1405.68
47314,833.102,810.609
47315,438.167,453.928
47316,2620.78,2548.75
47317,3326.98,3368.38
47318,1714.01,1761.85
47319,711.883,768.344
47320,1279.66,1272.01
47321,1693.84,1789.51
47322,2034.35,2049.72
47323,1898.89,1889.5
47324,1867.19,1854.97
47325,1191.76,1212.74
47326,1214.14,1143.58
47327,1559.65,1590.55
47328,1561.6,1514.01
47329,1423,1409.37
47330,1154.54,1248.39
47331,1093.43,1050.03
47332,1183.45,1249.76
47333,1195.4,1184.64
47334,1007.55,996.081
47335,1137,1217.55
47336,1416.22,1366.25
47337,945.081,1063.95
47338,957.966,931.823
47339,850.819,827.533
47340,996.111,1072.97
47341,1128.18,1085.42
47342,1201.76,1144.01
47343,956.524,969.364
47344,970.087,925.466
47345,842.85,895.485
47346,1106.73,1132.93
47347,1125.72,1146.59
47348,1125.04,1160.76
47349,1055.79,1091.44
47350,1048.92,1066.95
47351,1179.72,1138.6
47352,1154.88,1224.25
47353,1242.7,1157.07
47354,1175.48,1235.33
47355,1174.63,1157.67
47356,1245.33,1234.81
47357,1156.66,1235.67
