sample,mean0_minus_mean1
1319,-8.71411
1320,13.2271
1321,-84.6528
1322,41.6462
1323,-88.2004
1324,-15.8452
1325,-13.6194
1326,-3.14673
1327,11.3303
1328,-57.9275
1329,81.5828
1330,-45.4988
1331,57.3801
1332,29.6931
1333,-12.1577
1334,-79.4456
1335,63.5125
1336,-97.5063
1337,-17.4468
1338,-60.7827
1339,-25.7109
1340,-80.6221
1341,67.4392
1342,-49.3545
1343,-27.9309
1344,55.3342
1345,-49.6827
1346,29.1797
1347,3.61438
1348,-35.9412
1349,-7.30725
1350,-7.96643
1351,-40.4492
1352,-9.11682
1353,-99.4524
1354,53.4016
1355,-75.946
1356,20.2869
1357,3.61328
1358,36.4636
1359,-72.2727
1360,64.0786
1361,-21.3091
1362,1.60962
1363,-1.32153
1364,-51.8384
1365,-55.3572
1366,41.3855
1367,-119.025
1368,3.24805
1369,-38.8552
1370,-8.58203
1371,-7.02783
1372,-25.0686
1373,64.7776
1374,-82.759
1375,86.9456
1376,20.4771
1377,-19.2368
1378,-28.8701
1379,-15.2358
1380,34.4463
1381,-75.9946
1382,-29.6396
1383,8.04883
1384,-117.142
1385,94.5825
1386,-65.8765
1387,72.1841
1388,14.3105
1389,-31.4253
1390,4.99805
1391,53.1709
1392,-88.1035
1393,13.5195
1394,-63.6934
1395,32.7866
1396,-92.8757
1397,-16.1858
1398,-50.6367
1399,-64.8801
1400,67.5084
1401,-81.4862
1402,74.0413
1403,-37.7389
1404,48.6217
1405,13.8586
1406,-21.4755
1407,21.5824
1408,-30.3634
1409,-128.777
1410,142.993
1411,-171.884
1412,29.5283
1413,-17.3962
1414,-66.6255
1415,26.8914
1416,22.8567
1417,-37.9722
1418,10.1826
1419,-8.02905
1420,62.0127
1421,-79.3323
1422,42.2485
1423,-7.60254
1424,-97.8442
1425,88.5271
1426,-74.3008
1427,16.0273
1428,-73.6328
1429,8.89404
1430,24.0571
1431,-69.3655
1432,50.5234
1433,29.6697
1434,-67.9556
1435,128.387
1436,-62.5002
1437,15.3845
1438,3.88574
1439,-96.5698
1440,83.6833
1441,-5.35522
1442,-37.4106
1443,-58.168
1444,-14.5493
1445,23.1257
1446,-76.5786
1447,58.0793
1448,-6.41162
1449,-44.7927
1450,98.6482
1451,-50.8955
1452,63.1074
1453,-96.3279
1454,77.6182
1455,-53.1223
1456,-90.1956
1457,29.4426
1458,-36.6648
1459,-76.9109
1460,106.947
1461,-95.4468
1462,80.3
1463,-1.271
1464,1.8916
1465,8.40112
1466,37.74
1467,-28.6295
1468,-46.7284
1469,17.5874
1470,-23.3312
1471,-119.438
1472,44.9835
1473,-87.0695
1474,14.7491
1475,-0.329468
1476,-33.6683
1477,108.539
1478,-60.5746
1479,88.816
1480,0.896606
1481,-30.4818
1482,41.7047
1483,-7.62402
1484,-61.7352
1485,51.0981
1486,-93.0959
1487,0.937012
1488,-34.7231
1489,11.8662
1490,-43.0964
1491,49.6122
1492,-35.9883
1493,4.50977
1494,42.4182
1495,19.7288
1496,-33.7577
1497,17.1567
1498,-1.21753
1499,-41.4363
1500,7.48169
1501,-10.9829
1502,-50.8325
1503,-58.9253
1504,100.354
1505,-17.6465
1506,-5.69775
1507,42.8911
1508,55.1631
1509,-36.8247
1510,107.671
1511,-42.7983
1512,28.3535
1513,-1.76367
1514,9.15723
1515,-71.8403
1516,65.7817
1517,-137.718
1518,27.4595
1519,-32.3757
1520,14.3521
1521,-17.9607
1522,-0.934814
1523,48.855
1524,-36.6169
1525,65.5708
1526,-71.7043
1527,54.2408
1528,-115.791
1529,89.4254
1530,-41.6582
1531,-49.0535
1532,-17.4401
1533,-4.05182
1534,-60.6554
1535,80.0206
1536,-65.1486
1537,44.6484
1538,16.5775
1539,6.99597
1540,-21.4481
1541,32.6653
1542,-46.4843
1543,-34.751
