sample,mean0_minus_mean1
1365,-187.586
1366,-365.874
1367,-312.769
1368,-265.668
1369,-297.528
1370,-336.257
1371,-210.105
1372,-118.582
1373,-266.006
1374,-338.787
1375,454.383
1376,318.404
1377,-27.0151
1378,-250.836
1379,-232.426
1380,-24.6836
1381,12.7207
1382,67.8906
1383,-18.6436
1384,-18.2822
1385,-45.1426
1386,7.16602
1387,-12.2227
1388,-84.6152
1389,-81.4678
1390,151.49
1391,213.198
1392,-18.2415
1393,-203.901
1394,-102.949
1395,88.2168
1396,186.823
1397,102.066
1398,-88.958
1399,-17.3682
1400,43.9512
1401,-42.4688
1402,18.377
1403,52.6445
1404,36.4551
1405,-105.938
1406,298.243
1407,-64.4034
1408,-297.122
1409,-171.151
1410,43.4258
1411,48.334
1412,-58.8936
1413,-58.1758
1414,-62.9473
1415,-90.2979
1416,-76.041
1417,-133.23
1418,-114.162
1419,-20.6758
1420,-77.7559
1421,-78.9355
1422,409.072
1423,152.543
1424,-413.604
1425,-239.367
1426,45.834
1427,170.946
1428,-37.5557
1429,-79.1572
1430,-92.3047
1431,-43.71
1432,-96.1914
1433,-158.729
1434,-62.6133
1435,-26.123
1436,-24.7188
1437,-1.75293
1438,-227.674
1439,-340.779
1440,-386.903
1441,-108.162
1442,19.2793
1443,-95.3398
1444,-193.544
1445,-104.438
1446,-195.572
1447,-171.101
1448,-243.792
1449,-210.156
1450,-195.74
1451,-168.561
1452,-118.166
1453,333.674
1454,71.8478
1455,-522.085
1456,-417.988
1457,-130.195
1458,-19.1523
1459,-185.594
1460,-132.346
1461,-73.5557
1462,-178.868
1463,-327.016
1464,-230.417
1465,-162.283
1466,-142.627
1467,-128.329
1468,-205.325
1469,-207.359
1470,-299.297
1471,-397.181
1472,-293.342
1473,-147.311
1474,-205.287
1475,-244.608
1476,-271.911
1477,-204.167
1478,-298.005
1479,-318.632
1480,-295.283
1481,-287.379
1482,-268.342
1483,-233.94
1484,169.75
1485,-189.088
1486,-360.032
1487,-547.687
1488,-322.016
1489,-187.025
1490,-119.915
1491,-196.928
1492,-266.979
1493,-209.79
1494,-375.862
1495,-304.262
1496,-174.684
1497,-231.46
1498,-316.842
1499,-324.621
1500,-255.299
1501,-1514.86
1502,-1339.54
1503,-602.836
1504,-193.787
1505,-406.574
1506,-554.306
1507,-823.371
1508,-694.27
1509,-828.033
1510,-803.324
1511,-711.658
1512,-529.031
1513,-699.117
1514,-640.896
1515,-523.479
1516,-450.381
1517,-642.816
1518,-591.37
1519,-534.244
1520,-591.324
1521,-541.521
1522,-483.032
1523,-573.627
1524,-601.921
1525,-504.45
1526,-572.158
1527,-459.432
1528,-525.221
1529,-488.1
1530,-642.717
1531,-610.43
1532,-588.662
1533,-565.693
1534,-501.201
1535,-548.584
1536,-571.641
1537,-531.354
1538,-548.354
1539,-561.969
1540,-563.707
1541,-466.102
1542,-505.992
1543,-624.643
1544,-600.658
1545,-488.848
1546,-422.977
1547,-494.613
1548,-627.24
1549,-637.225
1550,-533.008
1551,-476.404
1552,-495.918
1553,-569.578
1554,-568.541
1555,-535.492
1556,-569.512
1557,-575.117
1558,-542.102
1559,-489.42
1560,-512.004
1561,-624.25
1562,-624.498
1563,-426.529
1564,-503.607
1565,-643.379
1566,-482.309
1567,-463.645
1568,-532.822
1569,-634.881
1570,-465.67
1571,-501.131
1572,-527.639
1573,-547.041
1574,-639.271
1575,-582.295
1576,-461.209
1577,-431.24
1578,-695.379
1579,-501.676
1580,-622.828
1581,-571.58
1582,-550.922
1583,-484.578
1584,-589.939
1585,-611.164
1586,-477.93
1587,-571.42
1588,-630.18
1589,-595.43
1590,-516.279
1591,-548.416
1592,-569.691
1593,-607.504
1594,-505.484
1595,-535.551
1596,-526.908
1597,-603.15
1598,-640.578
