sample,mean_class0,mean_class1
5053,-2920.55,-2965.26
5054,-2886.05,-2937.55
5055,-2438.65,-2425.08
5056,-2654.96,-2706.91
5057,-3013.63,-3105.17
5058,-3148.75,-3241.84
5059,-3010.17,-3047.36
5060,-2982.89,-2961.97
5061,-2927.03,-2967.23
5062,-2717.08,-2846.23
5063,-2657.26,-2815.23
5064,-2808.28,-2789.53
5065,-3056.48,-3093.39
5066,-3187.76,-3269.98
5067,-3094.47,-3174.21
5068,-2991.97,-3086.94
5069,-3124.15,-3170.54
5070,-2626.98,-2688.73
5071,-2673.2,-2673.14
5072,-2909.59,-3021.79
5073,-3257.99,-3277.83
5074,-3277.09,-3349.99
5075,-3142.31,-3194.28
5076,-2997,-3089.25
5077,-2991.37,-2984.01
5078,-2783.38,-2767.67
5079,-2766.88,-2875.94
5080,-3087.14,-3120.84
5081,-3268.18,-3251.23
5082,-3315.17,-3366.51
5083,-3153.4,-3264.64
5084,-3126.49,-3155.08
5085,-3100.35,-3129.21
5086,-2848.49,-2887.43
5087,-2801.2,-2802.34
5088,-3112.08,-3233.64
5089,-3374.18,-3476.58
5090,-3373.15,-3287.57
5091,-3209,-3226.17
5092,-3107.05,-3230.74
5093,-2809.22,-2999.67
5094,-3111.44,-3096.12
5095,-2935.13,-2950.7
5096,-3254.24,-3249.18
5097,-3378.06,-3438.62
5098,-3409.4,-3483.92
5099,-3237.52,-3328.85
5100,-3293.34,-3291.37
5101,-3283.23,-3368.69
5102,-2536.12,-2599.02
5103,-3116.94,-3094.71
5104,-3408.54,-3453.82
5105,-3482.95,-3491.65
5106,-3386.24,-3456.98
5107,-3279.14,-3280.57
5108,-3182.73,-3275.53
5109,-3137.49,-3121.01
5110,-2970.82,-2950.28
5111,-3130.2,-3202.31
5112,-3435.02,-3492.97
5113,-3554.88,-3589.04
5114,-3424.96,-3444.6
5115,-3353.54,-3371.59
5116,-3407.39,-3372.4
5117,-2883.24,-2971.37
5118,-3083.04,-3187.45
5119,-3316.1,-3360.79
5120,-3532.45,-3504.97
5121,-3547.89,-3536.74
5122,-3426.45,-3438.88
5123,-3343.01,-3427.39
5124,-3325.78,-3446.95
5125,-3037.16,-3060.81
5126,-3087.69,-3074.73
5127,-3407.56,-3435.63
5128,-3518.42,-3582.85
5129,-3638.75,-3620.93
5130,-3477.15,-3484.65
