lda_projection,label
-6.505687734692025970e+01,0.000000000000000000e+00
-3.137934142517570280e+01,0.000000000000000000e+00
-3.486566437323809708e+01,0.000000000000000000e+00
-6.267497178922241119e+01,0.000000000000000000e+00
-6.728999932816159912e+01,1.000000000000000000e+00
-5.636679048820419524e+01,1.000000000000000000e+00
-5.310917393199495962e+01,1.000000000000000000e+00
-3.151286958493012591e+01,0.000000000000000000e+00
-6.008075072476002276e+01,1.000000000000000000e+00
-6.243173934897377819e+01,1.000000000000000000e+00
-5.163913797615744272e+01,1.000000000000000000e+00
-2.931154605471682117e+01,0.000000000000000000e+00
-6.510950489808794828e+01,1.000000000000000000e+00
-3.103243958759099996e+01,0.000000000000000000e+00
-3.372011793313406258e+01,0.000000000000000000e+00
-3.178880896777574705e+01,1.000000000000000000e+00
-5.435837852399811254e+01,0.000000000000000000e+00
-3.287878320121740217e+01,0.000000000000000000e+00
-5.725292426715738259e+01,1.000000000000000000e+00
-3.060769294711207422e+01,0.000000000000000000e+00
