time_us,mean_m0,mean_m1,diff,welch_t
5.440000000000000391e-01,1.639557354925775871e+04,1.623955731225296404e+04,1.560162370047946752e+02,2.824309423989227241e+00
5.447999999999999510e-01,1.602798380566801643e+04,1.599755467720685192e+04,3.042912846116450964e+01,6.084704600201380487e-01
5.455999999999999739e-01,1.343153576248313038e+04,1.333645322793148807e+04,9.508253455164231127e+01,1.752858897282409956e+00
5.463999999999999968e-01,9.944788124156544654e+03,9.865528326745718005e+03,7.925979741082664987e+01,1.517539539887055478e+00
5.472000000000000197e-01,9.266871794871794918e+03,9.105201581027667999e+03,1.616702138441269199e+02,3.399467721923504104e+00
5.479999999999999316e-01,1.041653981106612628e+04,1.032044268774703596e+04,9.609712331909031491e+01,1.975481475414263333e+00
5.488000000000000655e-01,1.092517139001349460e+04,1.081836100131752391e+04,1.068103886959706870e+02,2.173582652953970573e+00
5.495999999999999774e-01,1.447315519568151103e+04,1.443296969696969609e+04,4.018549871181494382e+01,2.649781053254302576e-01
5.504000000000000004e-01,2.952222402159244302e+04,2.965704347826086814e+04,-1.348194566684251186e+02,-2.327285785318669920e+00
5.512000000000000233e-01,2.861205937921727309e+04,2.867722793148880010e+04,-6.516855227152700536e+01,-7.005473832384487842e-01
5.519999999999999352e-01,1.366732523616734215e+04,1.357297496706192396e+04,9.435026910541819234e+01,7.601962348758301014e-01
5.528000000000000691e-01,5.649187584345479081e+03,5.498856389986824979e+03,1.503311943586541020e+02,2.902585342048576766e+00
5.535999999999999810e-01,7.304896086369770273e+03,7.195320158102766982e+03,1.095759282670032917e+02,1.648826899532109369e+00
5.544000000000000039e-01,1.406315789473684163e+04,1.393024505928853796e+04,1.329128354483036674e+02,2.096315580958364677e+00
5.552000000000000268e-01,1.588936032388663989e+04,1.588920158102766800e+04,1.587428589718911098e-01,3.267776573971521367e-03
5.559999999999999387e-01,1.557609716599190324e+04,1.549558893280632401e+04,8.050823318557922903e+01,1.470965527454797694e+00
5.567999999999999616e-01,1.548014035087719276e+04,1.554466403162055394e+04,-6.452368074336118298e+01,-1.307597445536024638e+00
5.575999999999999845e-01,1.450105263157894660e+04,1.436728326745718005e+04,1.337693641217665572e+02,2.613258823331773506e+00
5.584000000000000075e-01,1.143768960863697794e+04,1.138398945981554607e+04,5.370014882143186696e+01,9.805532892028436809e-01
5.592000000000000304e-01,9.029873144399460216e+03,8.925175230566534083e+03,1.046979138329261332e+02,2.156006313578776368e+00
5.600000000000000533e-01,9.246315789473685072e+03,9.183536231884057997e+03,6.277955758962707478e+01,1.273894590374877955e+00
5.607999999999999652e-01,1.036169500674763913e+04,1.015550988142292408e+04,2.061851253247150453e+02,4.309891707179631659e+00
5.616000000000000991e-01,1.007123346828610011e+04,9.958450592885375954e+03,1.127828754007241514e+02,2.326912528652135492e+00
5.624000000000000110e-01,2.230162483130904002e+04,2.218135441370223998e+04,1.202704176068000379e+02,5.370664970471105137e-01
5.631999999999999229e-01,3.151252901484480390e+04,3.146160737812911611e+04,5.092163671568778227e+01,1.331983478428488521e+00
5.640000000000000568e-01,2.467204318488528952e+04,2.436595520421607216e+04,3.060879806692173588e+02,2.154972658629435767e+00
5.647999999999999687e-01,8.686466936572200211e+03,8.529454545454545951e+03,1.570123911176542606e+02,1.796350150255823896e+00
5.655999999999999917e-01,4.574661268556005780e+03,4.414482213438735016e+03,1.601790551172707637e+02,3.221561935089408912e+00
5.664000000000000146e-01,9.737068825910931992e+03,9.595699604743083910e+03,1.413692211678480817e+02,1.787327613778851410e+00
5.672000000000000375e-01,1.601554655870445276e+04,1.576018972332015801e+04,2.553568353842947545e+02,4.833208608401380779e+00
5.679999999999999494e-01,1.618258569500674821e+04,1.598853227931488800e+04,1.940534156918602093e+02,3.938175021806612275e+00
5.687999999999999723e-01,1.599991363022941914e+04,1.577992094861660007e+04,2.199926816128190694e+02,3.950833737188916839e+00
5.695999999999999952e-01,1.598756275303643815e+04,1.574214492753623199e+04,2.454178255002061633e+02,5.034918596675474589e+00
