time_us,abs_welch_t
7.320000000000000950e-01,1.038001444182047450e+01
7.328000000000000069e-01,9.553320966833977579e+00
7.335999999999999188e-01,9.508632543744930388e+00
7.344000000000000528e-01,1.043681550271399772e+01
7.351999999999999647e-01,7.754413925621300052e+00
7.359999999999999876e-01,1.017538502803567546e+01
7.368000000000000105e-01,7.844441815339798119e+00
7.376000000000000334e-01,1.169891014726290646e+00
7.383999999999999453e-01,5.350656781369995674e-01
7.391999999999999682e-01,2.411947825842017945e+00
7.399999999999999911e-01,6.631126377975267161e+00
7.408000000000000140e-01,9.173712028590792045e+00
7.416000000000000369e-01,3.808851929736813524e+00
7.423999999999999488e-01,6.668643102178802629e+00
7.432000000000000828e-01,4.176940451728399673e+00
7.439999999999999947e-01,6.250324316298684124e+00
7.448000000000000176e-01,4.549965127590473557e+00
7.456000000000000405e-01,7.118231042414367771e+00
7.463999999999999524e-01,7.256874668025870889e+00
7.471999999999999753e-01,7.434138128000616241e+00
7.479999999999999982e-01,6.521383980144475956e+00
7.488000000000000211e-01,7.970557317381996576e+00
7.496000000000000441e-01,2.525870948760311485e+00
7.504000000000000670e-01,1.113711424127122385e+01
7.511999999999999789e-01,7.656869707910067824e+00
7.520000000000000018e-01,4.007001655802042706e+00
7.528000000000000247e-01,7.105622718164401164e+00
7.535999999999999366e-01,5.978729468387938617e+00
7.544000000000000705e-01,8.717775729528145945e+00
7.551999999999999824e-01,8.800632798312136629e+00
7.560000000000000053e-01,9.809195198371796209e+00
7.568000000000000282e-01,1.028262131177168826e+01
7.575999999999999401e-01,1.146408522872381042e+01
7.583999999999999631e-01,8.838628384412047012e+00
7.591999999999999860e-01,1.098146337567845343e+01
7.600000000000000089e-01,8.827950833015846044e+00
7.608000000000000318e-01,1.126087991049942261e+01
7.616000000000000547e-01,9.045372318757502583e+00
7.623999999999999666e-01,1.623812090286401943e+00
7.631999999999999895e-01,5.300310947414330620e+00
7.640000000000000124e-01,3.997660582165114551e+00
7.647999999999999243e-01,5.755367865752967660e+00
7.656000000000000583e-01,9.325883928377196597e+00
7.663999999999999702e-01,5.081499494021437080e+00
7.671999999999999931e-01,9.341338249766808488e+00
7.680000000000000160e-01,7.813922354673131565e+00
7.687999999999999279e-01,8.061239359864343257e+00
7.696000000000000618e-01,9.651179643703711619e+00
7.703999999999999737e-01,7.619898631202668859e+00
7.711999999999999966e-01,7.639994505536220615e+00
7.720000000000000195e-01,9.362606671490127042e+00
7.728000000000000425e-01,9.694827977673364572e+00
7.735999999999999543e-01,8.854189112289756025e+00
7.744000000000000883e-01,7.474875351974715088e+00
7.752000000000000002e-01,1.327303254691049927e+00
7.759999999999999121e-01,1.028151648430286391e+00
7.768000000000000460e-01,1.855364934978565028e+00
7.775999999999999579e-01,9.355944845941163379e+00
7.783999999999999808e-01,6.718833216622286386e+00
7.792000000000000037e-01,4.575520367199517047e+00
7.800000000000000266e-01,4.853934969884130091e+00
7.808000000000000496e-01,7.904371211507350559e+00
7.815999999999999615e-01,5.101291403782176381e+00
7.823999999999999844e-01,5.412708467753639674e+00
7.832000000000000073e-01,4.457960641809807889e+00
7.840000000000000302e-01,7.353266064415691972e+00
7.847999999999999421e-01,6.694415955016517650e+00
7.856000000000000760e-01,8.487059820895776596e+00
7.863999999999999879e-01,5.626185329574058258e+00
7.871999999999998998e-01,9.373772905557702373e-01
7.880000000000000338e-01,7.999712683191541274e+00
7.887999999999999456e-01,5.197785900619007471e+00
7.896000000000000796e-01,3.660357869129911901e+00
7.903999999999999915e-01,5.045205991676525059e+00
7.912000000000000144e-01,3.513630165826065355e+00
7.920000000000000373e-01,7.148349739463740526e+00
7.927999999999999492e-01,1.048002954172559420e+01
7.935999999999999721e-01,8.293122982665371623e+00
7.943999999999999950e-01,9.465007231007867006e+00
7.952000000000000179e-01,8.006437788954674062e+00
7.959999999999999298e-01,7.828492109221536488e+00
7.968000000000000638e-01,6.128880800283527108e+00
7.975999999999999757e-01,9.483013333289004976e+00
7.983999999999999986e-01,8.574635099185545783e+00
7.992000000000000215e-01,1.005444596943567959e+01
7.999999999999999334e-01,1.783379934142788281e+00
8.008000000000000673e-01,4.588167623762589464e+00
8.015999999999999792e-01,2.239157335839330631e+00
8.024000000000000021e-01,5.930016199641777952e+00
8.032000000000000250e-01,6.641701435415762411e+00
8.040000000000000480e-01,5.284507487622629007e+00
8.047999999999999599e-01,6.678420549452562582e+00
8.055999999999999828e-01,7.748443797317579040e+00
8.064000000000000057e-01,6.122481553488571926e+00
8.072000000000000286e-01,7.661493486588601520e+00
8.080000000000000515e-01,7.064031355003561607e+00
8.087999999999999634e-01,7.196987015676111987e+00
8.096000000000000973e-01,7.461177721597242574e+00
8.104000000000000092e-01,7.823361439878216750e+00
8.111999999999999211e-01,5.478231872985719342e+00
8.120000000000000551e-01,2.022955809047098263e+00
8.127999999999999670e-01,3.617431555655625797e+00
8.135999999999999899e-01,2.754111677631769783e+00
8.144000000000000128e-01,2.449134576674655062e+00
8.152000000000000357e-01,4.746973704569974473e+00
8.159999999999999476e-01,5.148672732707228583e+00
