sample,mean0,mean1,diff_of_means,t_first,t_second
1783,239.28937,332.44668,-93.157308,-1.3744952,-0.36801633
1784,349.37281,239.29737,110.07545,1.6227226,0.11897278
1785,172.79139,145.50565,27.28574,0.40837544,0.3885273
1786,473.58277,573.51066,-99.927892,-1.5229494,1.042036
1787,507.00404,391.2271,115.77694,1.7779665,1.1016622
1788,571.26245,602.74028,-31.477827,-0.47910199,-0.35830851
1789,785.22746,780.04517,5.1822869,0.077546266,0.16298129
1790,895.48318,844.92848,50.554695,0.75628998,0.54719073
1791,1154.9287,1162.921,-7.992286,-0.11925833,-0.50020634
1792,1236.4145,1190.5445,45.869994,0.68854567,-0.15327366
1793,1540.6514,1533.1092,7.5422538,0.11540075,0.34090152
1794,1773.5666,1728.0803,45.486321,0.68649337,0.91311526
1795,1810.2611,1822.1932,-11.932121,-0.18151007,0.22561562
1796,2160.8398,2163.473,-2.6331853,-0.040947736,-1.1083718
1797,2175.3109,2165.5609,9.7500486,0.14812269,0.76340128
1798,2308.3069,2318.133,-9.8261347,-0.14540926,0.99764529
1799,2469.039,2420.1154,48.923598,0.73016528,-0.1840161
1800,2411.8439,2464.4417,-52.59778,-0.80461827,-0.68945498
1801,2526.2342,2537.3551,-11.120896,-0.17224477,-0.17781
1802,2403.0579,2451.5935,-48.535602,-0.74856243,0.73423295
1803,2525.2005,2564.9787,-39.778132,-0.60209871,0.3375255
1804,2496.7752,2458.4994,38.275863,0.5855736,-2.2817244
1805,2398.9233,2532.8582,-133.93493,-2.0585152,-0.18177922
1806,2510.3849,2445.0088,65.376143,1.0035393,0.63788461
1807,2352.0646,2371.9348,-19.870152,-0.29874985,1.5467691
1808,2212.6945,2287.1368,-74.442281,-1.120424,1.0295551
1809,2185.9919,2065.5056,120.48628,1.7942178,1.1955453
1810,2836.1561,2879.2773,-43.121166,-0.63081166,0.20868092
1811,1723.2624,1838.7353,-115.47281,-1.7014587,0.73074492
1812,3296.9906,3195.8243,101.16624,1.5335171,-0.035612384
1813,2412.3607,2467.0113,-54.650592,-0.82597882,-0.74079953
1814,2677.8358,2742.4442,-64.608365,-0.93828301,0.71269133
1815,1189.9004,1147.5031,42.397267,0.60892228,-0.15839045
1816,3010.8425,3092.2359,-81.393354,-1.1985515,-0.99390745
1817,4503.6016,4469.2396,34.361966,0.52384319,-0.60083924
1818,3588.996,3602.6299,-13.6339,-0.20034789,0.3449268
1819,1943.2571,2003.5132,-60.256108,-0.90531613,-0.12406058
1820,2081.7658,2082.2083,-0.44246679,-0.0065655146,-0.095247938
1821,2837.0175,2804.9184,32.099052,0.49060747,-0.77967889
1822,2992.926,3083.0816,-90.15558,-1.3801085,1.1287701
1823,3188.1131,3099.9448,88.168262,1.3317365,2.3585412
1824,2950.3742,2956.527,-6.1528173,-0.092144726,0.41025059
1825,2623.5693,2679.1669,-55.597562,-0.83035905,-0.90611324
1826,2246.9771,2221.7716,25.205476,0.38014885,-0.077927348
1827,2464.2153,2469.9021,-5.6867898,-0.087031781,-1.6685041
1828,2795.8439,2823.2271,-27.383225,-0.42142123,-0.40293661
1829,2325.7066,2287.6186,38.088025,0.59117277,-2.0926218
1830,2487.3001,2549.2396,-61.939514,-0.96386804,-0.44237602
1831,1877.1036,1894.7854,-17.681812,-0.27251243,1.3393446
1832,2007.86,1976.532,31.328032,0.47750593,2.0951699
1833,2115.8762,2198.4843,-82.608139,-1.2580476,-0.3628224
1834,1743.9354,1645.3701,98.565259,1.4854665,-0.23672947
1835,1806.1265,1867.9649,-61.838354,-0.93122932,0.61727285
1836,1832.4845,1884.5069,-52.022379,-0.79015189,1.0247979
1837,1647.6339,1593.335,54.29891,0.83617702,-1.2018041
1838,1386.638,1392.5822,-5.9442289,-0.091684625,-1.0836413
1839,1136.4953,1146.5395,-10.044234,-0.15336393,0.37169297
1840,1366.8264,1328.9837,37.842691,0.58007795,0.018429378
1841,1247.4401,1302.8055,-55.365413,-0.83862246,-1.1116724
1842,1305.4966,1241.4555,64.041177,0.96923227,-1.5253765
1843,1162.5087,1163.724,-1.2152166,-0.018640656,-0.36140968
1844,1004.8775,1005.6913,-0.81381898,-0.012294379,0.54811953
1845,1010.3903,951.08657,59.303735,0.89522037,0.20511403
1846,979.20861,1003.2823,-24.073695,-0.36745579,-0.51623963
1847,1150.7941,1147.3425,3.4515436,0.052755327,1.2611477
1848,1130.4657,1068.1656,62.300059,0.92893088,2.2832963
1849,1078.2665,1074.9109,3.3555713,0.050288925,-0.29798698
1850,989.37281,1050.66,-61.287162,-0.91978969,-1.1313529
1851,1206.611,1112.9737,93.637385,1.3905192,-1.8750057
1852,1129.9489,1191.8294,-61.880504,-0.91937728,-0.025082774
1853,1263.6339,1191.5082,72.125761,1.0682397,-0.20460546
1854,1268.9744,1204.3563,64.618092,0.97477453,-2.0107075
1855,1299.467,1343.7591,-44.292071,-0.69506012,-1.2684142
1856,1370.2719,1305.6964,64.575509,0.98290397,0.59777004
1857,1371.9946,1334.7654,37.229246,0.56291656,1.5086313
1858,1381.1252,1432.2509,-51.125773,-0.76719037,0.24479107
1859,1551.5047,1467.4228,84.081875,1.2707336,0.28782528
1860,1450.035,1433.6964,16.338632,0.25348314,0.23587524
1861,1518.6003,1652.1154,-133.51516,-2.062951,1.1500453
1862,1585.2705,1474.9711,110.29938,1.6994797,1.0664741
1863,1534.105,1518.0125,16.092433,0.24745161,-0.10076732
1864,1534.7941,1604.7378,-69.943689,-1.0689771,1.0914775
1865,1565.6312,1471.9197,93.711526,1.4557076,0.26160427
1866,1491.5532,1527.9699,-36.416724,-0.55882134,-1.423784
1867,1483.284,1489.5859,-6.3019635,-0.096017976,-1.2189838
1868,1619.2086,1520.4216,98.787033,1.5148853,-0.51705493
1869,1300.5007,1338.4592,-37.958549,-0.57698908,0.085998543
1870,1616.6245,1556.3965,60.228008,0.92104866,0.17344103
1871,1588.1992,1562.0176,26.181627,0.39837978,-0.6913447
1872,1175.9462,1179.9448,-3.9986288,-0.058959039,0.79090639
1873,1494.3096,1413.2999,81.009681,1.1315775,1.5518475
1874,1687.2571,1677.8118,9.4452717,0.13374843,0.15423609
1875,2048,2022.4642,25.535759,0.35980561,-0.99273307
1876,3090.9502,3122.2685,-31.318305,-0.47668324,-0.24623952
1877,4867.6178,4859.0213,8.5964358,0.12573692,0.90542195
1878,3044.9529,3140.256,-95.303066,-1.3179491,0.73943335
1879,3981.2651,4022.7654,-41.500229,-0.57520284,-0.82129337
1880,4013.4805,4112.7026,-99.22215,-1.4980128,0.55523182
1881,5207.6878,5222.4642,-14.776489,-0.22256236,1.5656605
1882,4382.8371,4409.1744,-26.337257,-0.39250734,3.2732075
1883,4585.0875,4686.5345,-101.44702,-1.5076611,0.56801972
1884,4276.8883,4219.5031,57.385154,0.8419824,-0.47045523
1885,4539.0902,4612.8181,-73.727893,-1.0987615,0.75878804
1886,4989.2436,5144.2509,-155.00733,-2.3326977,1.1745406
1887,5180.4684,5114.0577,66.410655,1.0233901,0.99147026
1888,4947.0363,5073.7465,-126.71021,-1.9188963,-0.17583563
1889,4885.0175,4935.3074,-50.289906,-0.77185307,0.34373386
1890,4488.6137,4533.6412,-45.027426,-0.67087942,0.058749552
1891,4066.541,4213.8821,-147.34101,-2.2309274,0.28631345
1892,3841.5505,3814.946,26.604423,0.40271777,0.8314469
1893,3622.5895,3686.6248,-64.035341,-0.9826732,1.1158337
1894,2978.9717,3078.1029,-99.13115,-1.4993704,1.9076133
1895,2753.8089,2722.3689,31.44,0.47757344,1.1447771
1896,2544.4953,2570.4391,-25.943857,-0.387648,-0.43994983
1897,1853.502,1884.5069,-31.004882,-0.46146999,1.6306362
1898,1540.1346,1469.8319,70.30272,1.0474629,2.2188287
1899,1351.3217,1292.6876,58.63409,0.87620208,0.61316387
1900,1074.4764,1135.7792,-61.302725,-0.92528738,0.13285012
1901,1214.5357,1089.6863,124.84934,1.8852783,1.2470852
1902,620.18843,645.29987,-25.111449,-0.37754816,-0.0055254375
1903,766.79408,759.00627,7.7878045,0.11615029,0.88862218
1904,468.41454,368.10038,100.31416,1.5128578,-2.0264201
1905,437.74966,539.62359,-101.87392,-1.5763251,-0.71693935
1906,484.95289,431.53827,53.414625,0.81578178,1.7427395
1907,403.98385,351.07654,52.907312,0.7860544,2.5515958
1908,227.74697,283.30238,-55.555412,-0.83795477,0.71195741
1909,255.13863,142.77541,112.36322,1.6813944,-0.78043363
1910,176.23688,148.87829,27.358584,0.40233019,-0.64222811
1911,368.32301,428.16562,-59.842606,-0.89058219,0.53363699
1912,462.04038,344.01004,118.03034,1.7867993,0.87750472
1913,539.90848,509.91217,29.996308,0.46182929,-0.69544876
1914,675.66083,669.22961,6.4312234,0.097366478,-0.87384
1915,841.38896,798.19322,43.195739,0.65136384,-0.91092701
1916,990.57873,974.85571,15.723026,0.23739671,-0.63020587
1917,1132.533,1072.3413,60.191695,0.88776796,0.36100884
1918,1429.7066,1418.1179,11.588653,0.17464806,1.3320609
1919,1562.8748,1521.7064,41.168433,0.63128469,0.47675677
1920,1612.8345,1649.867,-37.032546,-0.56896007,1.3003702
1921,1865.389,1855.2773,10.111674,0.15411422,0.77293295
1922,1897.0875,1921.7666,-24.679142,-0.37281178,0.97439904
1923,2010.6164,1980.8683,29.748164,0.44243026,1.5537039
1924,2091.5855,2103.2472,-11.661713,-0.17487163,0.79766098
1925,2073.3244,2129.7465,-56.422189,-0.84227028,0.41840851
1926,2157.0498,2103.0866,53.963223,0.80816279,0.07571991
1927,2089.6904,2104.0502,-14.359744,-0.21713501,0.43954578
1928,2187.3701,2169.7365,17.633609,0.26236903,-0.1665935
1929,2148.9529,2094.8959,54.057034,0.81329418,-2.1504218
1930,2067.1225,2189.4906,-122.36811,-1.8858184,-1.8766208
1931,2152.9152,2042.7001,110.21508,1.6786756,0.24512282
1932,2033.1844,2049.1242,-15.939828,-0.23808355,0.26508195
1933,1877.4482,1931.2422,-53.793975,-0.80237903,0.47958509
1934,1846.0942,1755.8645,90.229721,1.357592,1.0940089
1935,2456.2907,2540.8883,-84.597618,-1.264266,0.8036243
1936,1425.3997,1448.4718,-23.072038,-0.33806052,0.21584556
1937,2941.2436,2900.798,40.445615,0.58991375,0.3023195
1938,2088.3122,2067.2723,21.039977,0.32019822,-1.3491312
1939,2286.7725,2399.2371,-112.4646,-1.6344427,-1.1165194
1940,815.20323,746.3187,68.884535,1.0192631,-1.9536997
1941,2654.751,2676.9184,-22.167435,-0.31814728,-1.4316966
1942,4155.7793,4127.1568,28.622435,0.43285448,-0.31913917
1943,3241.8627,3183.9398,57.922945,0.84675019,-0.025080522
1944,1630.9233,1689.6964,-58.773077,-0.8832084,-0.97527728
1945,1725.3297,1712.3413,12.988464,0.19184851,-0.62148228
